1,48
2,56
3,54
4,51
5,48
6,55
7,49
8,57
9,54
10,49
11,58
12,52
13,41
14,48
15,49
16,48
17,58
18,51
19,61
20,54
21,57
22,52
23,51
24,58
25,57
26,55
27,53
28,67
29,61
30,54
31,58
32,46
33,42
34,58
35,53
36,52
37,55
38,56
39,50
40,52
41,49
42,55
43,54
44,53
45,54
46,52
47,51
48,48
49,51
50,50
51,56
52,44
53,58
54,59
55,58
56,62
57,54
58,44
59,51
60,59
61,52
62,53
63,53
64,51
65,51
66,58
67,57
68,59
69,51
70,43
71,60
72,58
73,54
74,51
75,51
76,60
77,53
78,54
79,47
80,59
81,50
82,60
83,53
84,54
85,43
86,44
87,55
88,53
89,52
90,59
91,56
92,60
93,57
94,57
95,50
96,62
97,52
98,65
99,49
100,60
